resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
26402,1126,848,3,23,14,18,18,18,0.0,57,+1:16.091,5525967,55,2,1:30.849,214.456,1
26403,1126,825,210,20,18,19,19,19,0.0,57,+1:24.683,5534559,33,12,1:31.774,212.295,1
26404,1126,858,3,2,17,\N,R,20,0.0,27,\N,\N,15,20,1:33.452,208.483,4
26405,1127,830,9,1,1,1,1,1,25.0,63,1:25:25.252,5125252,38,9,1:20.366,219.898,1
26406,1127,846,1,4,2,2,2,2,18.0,63,+0.725,5125977,54,6,1:19.994,220.921,1
26407,1127,844,6,16,3,3,3,3,15.0,63,+7.916,5133168,27,5,1:19.935,221.084,1
26408,1127,857,1,81,5,4,4,4,12.0,63,+14.132,5139384,25,4,1:19.907,221.162,1
26409,1127,832,6,55,4,5,5,5,10.0,63,+22.325,5147577,63,7,1:20.220,220.299,1
26410,1127,1,131,44,8,6,6,6,8.0,63,+35.104,5160356,43,8,1:20.331,219.994,1
26411,1127,847,131,63,6,7,7,7,7.0,63,+47.154,5172406,54,1,1:18.589,224.871,1
26412,1127,815,9,11,11,8,8,8,4.0,63,+54.776,5180028,52,3,1:19.686,221.775,1
26413,1127,840,117,18,13,9,9,9,2.0,63,+1:19.556,5204808,58,10,1:20.570,219.342,1
26414,1127,852,215,22,7,10,10,10,1.0,62,\N,\N,14,11,1:20.936,218.350,11
26415,1127,807,210,27,10,11,11,11,0.0,62,\N,\N,3,20,1:21.700,216.308,11
26416,1127,825,210,20,18,12,12,12,0.0,62,\N,\N,58,12,1:21.009,218.153,11
26417,1127,817,215,3,9,13,13,13,0.0,62,\N,\N,13,19,1:21.569,216.655,11
26418,1127,839,214,31,12,14,14,14,0.0,62,\N,\N,37,16,1:21.304,217.361,11
26419,1127,855,15,24,17,15,15,15,0.0,62,\N,\N,37,13,1:21.016,218.134,11
26420,1127,842,214,10,15,16,16,16,0.0,62,\N,\N,10,17,1:21.371,217.183,11
26421,1127,858,3,2,19,17,17,17,0.0,62,\N,\N,55,14,1:21.229,217.562,11
26422,1127,822,15,77,16,18,18,18,0.0,62,\N,\N,11,18,1:21.455,216.959,11
26423,1127,4,117,14,20,19,19,19,0.0,62,\N,\N,62,2,1:19.004,223.689,11
26424,1127,848,3,23,14,\N,R,20,0.0,51,\N,\N,48,15,1:21.274,217.442,31
26425,1128,844,6,16,1,1,1,1,25.0,78,2:23:15.554,8595554,\N,0,\N,\N,1
26426,1128,857,1,81,2,2,2,2,18.0,78,+7.152,8602706,\N,0,\N,\N,1
26427,1128,832,6,55,3,3,3,3,15.0,78,+7.585,8603139,\N,0,\N,\N,1
26428,1128,846,1,4,4,4,4,4,12.0,78,+8.650,8604204,\N,0,\N,\N,1
26429,1128,847,131,63,5,5,5,5,10.0,78,+13.309,8608863,\N,0,\N,\N,1
26430,1128,830,9,1,6,6,6,6,8.0,78,+13.853,8609407,\N,0,\N,\N,1
26431,1128,1,131,44,7,7,7,7,7.0,78,+14.908,8610462,\N,0,\N,\N,1
26432,1128,852,215,22,8,8,8,8,4.0,77,\N,\N,\N,0,\N,\N,11
26433,1128,848,3,23,9,9,9,9,2.0,77,\N,\N,\N,0,\N,\N,11
26434,1128,842,214,10,10,10,10,10,1.0,77,\N,\N,\N,0,\N,\N,11
26435,1128,4,117,14,14,11,11,11,0.0,76,\N,\N,\N,0,\N,\N,12
26436,1128,817,215,3,12,12,12,12,0.0,76,\N,\N,\N,0,\N,\N,12
26437,1128,822,15,77,17,13,13,13,0.0,76,\N,\N,\N,0,\N,\N,12
26438,1128,840,117,18,13,14,14,14,0.0,76,\N,\N,\N,0,\N,\N,12
26439,1128,858,3,2,15,15,15,15,0.0,76,\N,\N,\N,0,\N,\N,12
26440,1128,855,15,24,18,16,16,16,0.0,76,\N,\N,\N,0,\N,\N,12
26441,1128,839,214,31,11,\N,R,17,0.0,0,\N,\N,\N,0,\N,\N,4
26442,1128,815,9,11,16,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4
26443,1128,807,210,27,19,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
26444,1128,825,210,20,20,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
26445,1129,830,9,1,2,1,1,1,25.0,70,1:45:47.927,6347927,70,4,1:15.569,207.751,1
26446,1129,846,1,4,3,2,2,2,18.0,70,+3.879,6351806,67,3,1:15.558,207.782,1
26447,1129,847,131,63,1,3,3,3,15.0,70,+4.317,6352244,70,2,1:14.895,209.621,1
26448,1129,1,131,44,7,4,4,4,13.0,70,+4.915,6352842,70,1,1:14.856,209.730,1
26449,1129,857,1,81,4,5,5,5,10.0,70,+10.199,6358126,65,5,1:16.247,205.904,1
26450,1129,4,117,14,6,6,6,6,8.0,70,+17.510,6365437,70,6,1:16.303,205.753,1
26451,1129,840,117,18,9,7,7,7,6.0,70,+23.625,6371552,70,9,1:16.762,204.523,1
26452,1129,817,215,3,5,8,8,8,4.0,70,+28.672,6376599,68,12,1:17.076,203.689,1
26453,1129,842,214,10,15,9,9,9,2.0,70,+30.021,6377948,70,11,1:17.013,203.856,1
26454,1129,839,214,31,18,10,10,10,1.0,70,+30.313,6378240,70,10,1:17.012,203.859,1
26455,1129,807,210,27,17,11,11,11,0.0,70,+30.824,6378751,67,8,1:16.683,204.733,1
26456,1129,825,210,20,14,12,12,12,0.0,70,+31.253,6379180,68,7,1:16.499,205.226,1
26457,1129,822,15,77,0,13,13,13,0.0,70,+40.487,6388414,65,13,1:17.250,203.231,1
26458,1129,852,215,22,8,14,14,14,0.0,70,+52.694,6400621,70,14,1:17.309,203.075,1
26459,1129,855,15,24,0,15,15,15,0.0,69,\N,\N,68,15,1:17.325,203.033,11
26460,1129,832,6,55,12,\N,R,16,0.0,52,\N,\N,51,17,1:18.957,198.837,4
26461,1129,848,3,23,10,\N,R,17,0.0,52,\N,\N,51,18,1:19.359,197.830,4
26462,1129,815,9,11,16,\N,R,18,0.0,51,\N,\N,51,16,1:18.819,199.185,3
26463,1129,844,6,16,11,\N,R,19,0.0,40,\N,\N,39,19,1:26.012,182.528,5
26464,1129,858,3,2,13,\N,R,20,0.0,23,\N,\N,19,20,1:26.484,181.531,3
26465,1130,830,9,1,2,1,1,1,25.0,66,1:28:20.227,5300227,54,2,1:17.776,215.557,1
26466,1130,846,1,4,1,2,2,2,19.0,66,+2.219,5302446,51,1,1:17.115,217.405,1
26467,1130,1,131,44,3,3,3,3,15.0,66,+17.790,5318017,46,4,1:17.809,215.466,1
26468,1130,847,131,63,4,4,4,4,12.0,66,+22.320,5322547,50,7,1:18.290,214.142,1
26469,1130,844,6,16,5,5,5,5,10.0,66,+22.709,5322936,52,6,1:17.897,215.222,1
26470,1130,832,6,55,6,6,6,6,8.0,66,+31.028,5331255,39,9,1:18.539,213.463,1
26471,1130,857,1,81,9,7,7,7,6.0,66,+33.760,5333987,56,5,1:17.874,215.286,1
26472,1130,815,9,11,11,8,8,8,4.0,66,+59.524,5359751,51,3,1:17.785,215.532,1
26473,1130,842,214,10,7,9,9,9,2.0,66,+1:02.025,5362252,51,13,1:19.045,212.096,1
26474,1130,839,214,31,8,10,10,10,1.0,66,+1:11.889,5372116,54,12,1:18.982,212.266,1
26475,1130,807,210,27,13,11,11,11,0.0,66,+1:19.215,5379442,49,10,1:18.609,213.273,1
26476,1130,4,117,14,10,12,12,12,0.0,65,\N,\N,50,8,1:18.334,214.022,11
26477,1130,855,15,24,15,13,13,13,0.0,65,\N,\N,50,11,1:18.771,212.834,11
26478,1130,840,117,18,14,14,14,14,0.0,65,\N,\N,50,15,1:19.318,211.366,11
26479,1130,817,215,3,18,15,15,15,0.0,65,\N,\N,61,17,1:19.450,211.015,11
26480,1130,822,15,77,12,16,16,16,0.0,65,\N,\N,13,18,1:19.608,210.596,11
26481,1130,825,210,20,16,17,17,17,0.0,65,\N,\N,33,19,1:19.805,210.077,11
26482,1130,848,3,23,0,18,18,18,0.0,65,\N,\N,45,14,1:19.132,211.863,11
26483,1130,852,215,22,17,19,19,19,0.0,65,\N,\N,56,16,1:19.447,211.023,11
26484,1130,858,3,2,19,20,20,20,0.0,64,\N,\N,38,20,1:20.172,209.115,12
26485,1131,847,131,63,3,1,1,1,25.0,71,1:24:22.798,5062798,48,5,1:09.164,224.752,1
26486,1131,857,1,81,7,2,2,2,18.0,71,+1.906,5064704,56,4,1:08.697,226.280,1
26487,1131,832,6,55,4,3,3,3,15.0,71,+4.533,5067331,56,6,1:09.282,224.369,1
26488,1131,1,131,44,5,4,4,4,12.0,71,+23.142,5085940,61,7,1:09.562,223.466,1
26489,1131,830,9,1,1,5,5,5,10.0,71,+37.253,5100051,68,2,1:07.719,229.548,1
26490,1131,807,210,27,9,6,6,6,8.0,71,+54.088,5116886,51,14,1:10.215,221.388,1
26491,1131,815,9,11,8,7,7,7,6.0,71,+54.672,5117470,56,11,1:09.694,223.043,1
26492,1131,825,210,20,12,8,8,8,4.0,71,+1:00.355,5123153,45,12,1:10.125,221.672,1
26493,1131,817,215,3,11,9,9,9,2.0,71,+1:01.169,5123967,49,18,1:10.426,220.725,1
26494,1131,842,214,10,13,10,10,10,1.0,71,+1:01.766,5124564,45,9,1:09.609,223.315,1
26495,1131,844,6,16,6,11,11,11,0.0,71,+1:07.056,5129854,55,8,1:09.584,223.396,1
26496,1131,839,214,31,10,12,12,12,0.0,71,+1:08.325,5131123,45,10,1:09.649,223.187,1
26497,1131,840,117,18,17,13,13,13,0.0,70,\N,\N,54,13,1:10.143,221.615,11
26498,1131,852,215,22,14,14,14,14,0.0,70,\N,\N,54,15,1:10.318,221.064,11
26499,1131,848,3,23,16,15,15,15,0.0,70,\N,\N,41,16,1:10.364,220.919,11
26500,1131,822,15,77,18,16,16,16,0.0,70,\N,\N,48,19,1:10.449,220.653,11
26501,1131,855,15,24,20,17,17,17,0.0,70,\N,\N,54,20,1:10.470,220.587,11
26502,1131,4,117,14,15,18,18,18,0.0,70,\N,\N,70,1,1:07.694,229.633,11
26503,1131,858,3,2,19,19,19,19,0.0,69,\N,\N,60,17,1:10.406,220.788,12
26504,1131,846,1,4,2,20,20,20,0.0,64,\N,\N,53,3,1:08.016,228.546,17
26505,1132,1,131,44,2,1,1,1,25.0,52,1:22:27.059,4947059,45,5,1:29.438,237.120,1
26506,1132,830,9,1,4,2,2,2,18.0,52,+1.465,4948524,48,3,1:28.952,238.416,1
26507,1132,846,1,4,3,3,3,3,15.0,52,+7.547,4954606,43,4,1:29.262,237.588,1
26508,1132,857,1,81,5,4,4,4,12.0,52,+12.429,4959488,51,2,1:28.748,238.964,1
26509,1132,832,6,55,7,5,5,5,11.0,52,+47.318,4994377,52,1,1:28.293,240.195,1
26510,1132,807,210,27,6,6,6,6,8.0,52,+55.722,5002781,43,10,1:29.836,236.070,1
26511,1132,840,117,18,8,7,7,7,6.0,52,+56.569,5003628,46,11,1:29.897,235.909,1
26512,1132,4,117,14,10,8,8,8,4.0,52,+1:03.577,5010636,47,7,1:29.710,236.401,1
26513,1132,848,3,23,9,9,9,9,2.0,52,+1:08.387,5015446,52,8,1:29.718,236.380,1
26514,1132,852,215,22,13,10,10,10,1.0,52,+1:19.303,5026362,43,14,1:30.229,235.041,1
26515,1132,858,3,2,12,11,11,11,0.0,52,+1:28.960,5036019,42,12,1:29.972,235.713,1
26516,1132,825,210,20,17,12,12,12,0.0,52,+1:30.153,5037212,42,13,1:30.093,235.396,1
26517,1132,817,215,3,15,13,13,13,0.0,51,\N,\N,47,15,1:30.735,233.731,11
26518,1132,844,6,16,11,14,14,14,0.0,51,\N,\N,43,9,1:29.748,236.301,11
26519,1132,822,15,77,16,15,15,15,0.0,51,\N,\N,44,18,1:31.277,232.343,11
26520,1132,839,214,31,18,16,16,16,0.0,50,\N,\N,46,16,1:30.875,233.371,12
26521,1132,815,9,11,0,17,17,17,0.0,50,\N,\N,50,6,1:29.707,236.409,12
26522,1132,855,15,24,14,18,18,18,0.0,50,\N,\N,43,17,1:31.014,233.014,12
26523,1132,847,131,63,1,\N,R,19,0.0,33,\N,\N,3,19,1:31.298,232.289,34
26524,1132,842,214,10,19,\N,W,20,0.0,0,\N,\N,\N,0,\N,\N,6
26525,1133,857,1,81,2,1,1,1,25.0,70,1:38:01.989,5881989,51,8,1:21.716,193.005,1
26526,1133,846,1,4,1,2,2,2,18.0,70,+2.141,5884130,50,7,1:21.712,193.014,1
26527,1133,1,131,44,5,3,3,3,15.0,70,+14.880,5896869,54,9,1:22.153,191.978,1
26528,1133,844,6,16,6,4,4,4,12.0,70,+19.686,5901675,29,10,1:22.182,191.910,1
26529,1133,830,9,1,3,5,5,5,10.0,70,+21.349,5903338,51,3,1:20.908,194.932,1
26530,1133,832,6,55,4,6,6,6,8.0,70,+23.073,5905062,53,5,1:21.441,193.656,1
26531,1133,815,9,11,16,7,7,7,6.0,70,+39.792,5921781,49,4,1:21.096,194.480,1
26532,1133,847,131,63,17,8,8,8,5.0,70,+42.368,5924357,55,1,1:20.305,196.396,1
26533,1133,852,215,22,10,9,9,9,2.0,70,+1:17.259,5959248,57,18,1:23.533,188.806,1
26534,1133,840,117,18,8,10,10,10,1.0,70,+1:17.976,5959965,48,11,1:22.338,191.547,1
26535,1133,4,117,14,7,11,11,11,0.0,70,+1:22.460,5964449,52,14,1:23.063,189.875,1
26536,1133,817,215,3,9,12,12,12,0.0,69,\N,\N,30,12,1:22.640,190.847,11
26537,1133,807,210,27,11,13,13,13,0.0,69,\N,\N,54,16,1:23.461,188.969,11
26538,1133,848,3,23,13,14,14,14,0.0,69,\N,\N,31,20,1:23.930,187.913,11
26539,1133,825,210,20,15,15,15,15,0.0,69,\N,\N,50,19,1:23.553,188.761,11
26540,1133,822,15,77,12,16,16,16,0.0,69,\N,\N,52,13,1:22.792,190.496,11
26541,1133,858,3,2,14,17,17,17,0.0,69,\N,\N,65,2,1:20.561,195.772,11
26542,1133,839,214,31,19,18,18,18,0.0,69,\N,\N,66,6,1:21.610,193.255,11
26543,1133,855,15,24,18,19,19,19,0.0,69,\N,\N,38,17,1:23.487,188.910,11
26544,1133,842,214,10,0,\N,R,20,0.0,33,\N,\N,31,15,1:23.340,189.244,9
26545,1134,1,131,44,3,1,1,1,25.0,44,+0.526,526,33,6,1:46.653,236.415,1
26546,1134,857,1,81,5,2,2,2,18.0,44,+1.173,1699,32,3,1:45.840,238.231,1
26547,1134,844,6,16,1,3,3,3,15.0,44,+8.549,9075,33,8,1:47.013,235.619,1
26548,1134,830,9,1,11,4,4,4,12.0,44,+9.226,9752,32,4,1:46.128,237.584,1
26549,1134,846,1,4,4,5,5,5,10.0,44,+9.850,10376,31,2,1:45.563,238.856,1
26550,1134,832,6,55,7,6,6,6,8.0,44,+19.795,20321,44,5,1:46.364,237.057,1
26551,1134,815,9,11,2,7,7,7,7.0,44,+43.195,43721,44,1,1:44.701,240.822,1
26552,1134,4,117,14,8,8,8,8,4.0,44,+49.963,50489,42,17,1:48.051,233.356,1
26553,1134,839,214,31,9,9,9,9,2.0,44,+52.552,53078,43,7,1:46.957,235.743,1
26554,1134,817,215,3,13,10,10,10,1.0,44,+54.926,55452,37,12,1:47.435,234.694,1
26555,1134,840,117,18,15,11,11,11,0.0,44,+1:03.011,63537,44,18,1:48.105,233.239,1
26556,1134,848,3,23,10,12,12,12,0.0,44,+1:03.651,64177,44,16,1:47.996,233.475,1
26557,1134,842,214,10,12,13,13,13,0.0,44,+1:04.365,64891,30,11,1:47.418,234.731,1
26558,1134,825,210,20,17,14,14,14,0.0,44,+1:06.631,67157,44,14,1:47.848,233.795,1
26559,1134,822,15,77,14,15,15,15,0.0,44,+1:10.638,71164,37,9,1:47.019,235.606,1
26560,1134,852,215,22,20,16,16,16,0.0,44,+1:16.737,77263,44,15,1:47.969,233.533,1
26561,1134,858,3,2,18,17,17,17,0.0,44,+1:26.057,86583,43,13,1:47.490,234.574,1
26562,1134,807,210,27,16,18,18,18,0.0,44,+1:28.833,89359,44,19,1:48.954,231.422,1
26563,1134,855,15,24,19,\N,R,19,0.0,5,\N,\N,2,20,1:52.099,224.929,31
26564,1134,847,131,63,6,\N,D,20,0.0,44,1:19:57.040,4797566,44,10,1:47.113,235.399,2
26565,1135,846,1,4,1,1,1,1,26.0,72,1:30:45.519,5445519,72,1,1:13.817,207.708,1
26566,1135,830,9,1,2,2,2,2,18.0,72,+22.896,5468415,30,9,1:14.752,205.110,1
26567,1135,844,6,16,6,3,3,3,15.0,72,+25.439,5470958,62,7,1:14.585,205.569,1
26568,1135,857,1,81,3,4,4,4,12.0,72,+27.337,5472856,36,5,1:14.237,206.533,1
26569,1135,832,6,55,10,5,5,5,10.0,72,+32.137,5477656,40,4,1:14.117,206.867,1
26570,1135,815,9,11,5,6,6,6,8.0,72,+39.542,5485061,69,8,1:14.587,205.563,1
26571,1135,847,131,63,4,7,7,7,6.0,72,+44.617,5490136,57,3,1:13.927,207.399,1
26572,1135,1,131,44,14,8,8,8,4.0,72,+49.599,5495118,62,2,1:13.878,207.536,1
26573,1135,842,214,10,9,9,9,9,2.0,71,\N,\N,54,11,1:14.855,204.828,11
26574,1135,4,117,14,7,10,10,10,1.0,71,\N,\N,34,10,1:14.758,205.093,11
26575,1135,807,210,27,12,11,11,11,0.0,71,\N,\N,59,18,1:15.657,202.656,11
26576,1135,817,215,3,13,12,12,12,0.0,71,\N,\N,52,13,1:15.222,203.828,11
26577,1135,840,117,18,8,13,13,13,0.0,71,\N,\N,51,14,1:15.255,203.739,11
26578,1135,848,3,23,19,14,14,14,0.0,71,\N,\N,71,6,1:14.434,205.986,11
26579,1135,839,214,31,15,15,15,15,0.0,71,\N,\N,50,15,1:15.390,203.374,11
26580,1135,858,3,2,18,16,16,16,0.0,71,\N,\N,26,16,1:15.539,202.973,11
26581,1135,852,215,22,11,17,17,17,0.0,71,\N,\N,16,17,1:15.552,202.938,11
26582,1135,825,210,20,0,18,18,18,0.0,71,\N,\N,42,12,1:14.954,204.557,11
26583,1135,822,15,77,16,19,19,19,0.0,70,\N,\N,45,20,1:15.822,202.215,12
26584,1135,855,15,24,17,20,20,20,0.0,70,\N,\N,67,19,1:15.724,202.477,12
26585,1136,844,6,16,4,1,1,1,25.0,53,1:14:40.727,4480727,33,10,1:23.226,250.580,1
26586,1136,857,1,81,2,2,2,2,18.0,53,+2.664,4483391,53,4,1:21.943,254.503,1
26587,1136,846,1,4,1,3,3,3,16.0,53,+6.153,4486880,53,1,1:21.432,256.100,1
26588,1136,832,6,55,5,4,4,4,12.0,53,+15.621,4496348,53,9,1:23.219,250.601,1
26589,1136,1,131,44,6,5,5,5,10.0,53,+22.820,4503547,53,2,1:21.512,255.849,1
26590,1136,830,9,1,7,6,6,6,8.0,53,+37.932,4518659,43,3,1:21.745,255.120,1
26591,1136,847,131,63,3,7,7,7,6.0,53,+39.715,4520442,49,5,1:22.036,254.215,1
26592,1136,815,9,11,8,8,8,8,4.0,53,+54.148,4534875,47,8,1:22.971,251.350,1
26593,1136,848,3,23,9,9,9,9,2.0,53,+1:07.456,4548183,53,16,1:23.918,248.514,1
26594,1136,825,210,20,13,10,10,10,1.0,53,+1:08.302,4549029,51,12,1:23.437,249.946,1
26595,1136,4,117,14,11,11,11,11,0.0,53,+1:08.495,4549222,46,7,1:22.944,251.432,1
26596,1136,861,3,43,18,12,12,12,0.0,53,+1:21.308,4562035,53,14,1:23.728,249.077,1
26597,1136,817,215,3,12,13,13,13,0.0,53,+1:33.452,4574179,52,17,1:24.219,247.625,1
26598,1136,839,214,31,15,14,14,14,0.0,52,\N,\N,52,18,1:24.343,247.261,11
26599,1136,842,214,10,14,15,15,15,0.0,52,\N,\N,51,15,1:23.755,248.997,11
26600,1136,822,15,77,19,16,16,16,0.0,52,\N,\N,52,13,1:23.609,249.432,11
26601,1136,807,210,27,10,17,17,17,0.0,52,\N,\N,44,11,1:23.275,250.432,11
26602,1136,855,15,24,20,18,18,18,0.0,52,\N,\N,17,19,1:25.092,245.085,11
26603,1136,840,117,18,17,19,19,19,0.0,52,\N,\N,52,6,1:22.232,253.609,11
26604,1136,852,215,22,16,\N,R,20,0.0,7,\N,\N,4,20,1:26.198,241.940,25
26605,1137,857,1,81,2,1,1,1,25.0,51,1:32:58.007,5578007,47,9,1:47.060,201.856,1
26606,1137,844,6,16,1,2,2,2,18.0,51,+10.910,5588917,44,10,1:47.067,201.843,1
26607,1137,847,131,63,5,3,3,3,15.0,51,+31.328,5609335,45,2,1:46.628,202.674,1
26608,1137,846,1,4,15,4,4,4,13.0,51,+36.143,5614150,42,1,1:45.255,205.318,1
26609,1137,830,9,1,6,5,5,5,10.0,51,+1:17.098,5655105,42,3,1:46.798,202.352,1
26610,1137,4,117,14,7,6,6,6,8.0,51,+1:25.468,5663475,48,8,1:47.057,201.862,1
26611,1137,848,3,23,9,7,7,7,6.0,51,+1:27.396,5665403,43,5,1:46.947,202.070,1
26612,1137,861,3,43,8,8,8,8,4.0,51,+1:29.541,5667548,44,12,1:47.274,201.454,1
26613,1137,1,131,44,0,9,9,9,2.0,51,+1:32.401,5670408,48,11,1:47.236,201.525,1
26614,1137,860,210,50,10,10,10,10,1.0,51,+1:33.127,5671134,47,7,1:47.048,201.879,1
